10019,09-24-2026,10-01-2026,Sick,REJECTED
10015,04-12-2026,06-30-2026,Vacation,REJECTED
10026,02-25-2026,03-01-2026,Sick,APPROVED
10002,09-04-2026,09-05-2026,Vacation,PENDING
10008,04-09-2009,05-30-2010,Vacation,APPROVED
10008,09-08-2003,09-04-2000,Vacation,APPROVED
10004,09-10-2004,09-10-2014,Holiday,APPROVED
10004,05-04-1994,02-03-2030,Sick,REJECTED
10001,03/26/2026,03/30/2026,Sick,APPROVED
10004,09/29/2019,09/29/2020,Sick,PENDING
10012,03/29/2005,03/04/2007,Vacation,REJECTED
10034,09/29/2025,09/30/2025,Sick,PENDING
